MOF,Uptake,Pressure,H,C,N,F,Cl,Br,V,Cu,Zn,Zr,ASA_m^2/g_15prb,NASA_m^2/g_15prb,AV_cm^3/g_15prb,NAV_cm^3/g_15prb,POAV_cm^3/g_15prb,PONAV_cm^3/g_15prb,PLD,LCD,LFPD,Density,Volume,TotalDegreeOfUnsaturation,MetallicPercentage,OxygenToMetalRatio,ElectronegativeToTotalRatio,WeightedElectronegativityPerAtom,NitrogenToOxygen,Epoch40,Epoch1000,Epoch4000,Epoch40Ave,Epoch4000Ave,Epoch1000Ave,HenryCoeff_CO2
PATWOY,0.005381903,40,0.020506971,0.031401299,0.001922529,0,0,0,0,0,0.000961264,0,1786.08,0,0.201347,0,0.461694,0,6.6393,7.82677,7.82445,0.911859,3120.89,65.5,3.06122449,4,0.098360656,0.325245902,0.5,0,66.51582625,267.535402,0,1.461942087,0.36347446,0.000128918
PATWOY,0.130337523,1000,0.020506971,0.031401299,0.001922529,0,0,0,0,0,0.000961264,0,1786.08,0,0.201347,0,0.461694,0,6.6393,7.82677,7.82445,0.911859,3120.89,65.5,3.06122449,4,0.098360656,0.325245902,0.5,0,66.51582625,267.535402,0,1.461942087,0.36347446,0.000128918
PATWOY,0.470731351,4000,0.020506971,0.031401299,0.001922529,0,0,0,0,0,0.000961264,0,1786.08,0,0.201347,0,0.461694,0,6.6393,7.82677,7.82445,0.911859,3120.89,65.5,3.06122449,4,0.098360656,0.325245902,0.5,0,66.51582625,267.535402,0,1.461942087,0.36347446,0.000128918
PEBNEP,0.005726691,40,0.027640057,0.031095065,0.010365022,0,0.005182511,0,0,0.001727504,0,0,276.504,0,0.00919263,0,0.0655651,0,3.99855,4.70974,4.70974,1.47945,2315.48,29,8.333333333,0,0.202247191,0.622921348,0,0,63.6487763,259.1760139,0,1.456045022,0.357577395,0.000136841
PEBNEP,0.126588285,1000,0.027640057,0.031095065,0.010365022,0,0.005182511,0,0,0.001727504,0,0,276.504,0,0.00919263,0,0.0655651,0,3.99855,4.70974,4.70974,1.47945,2315.48,29,8.333333333,0,0.202247191,0.622921348,0,0,63.6487763,259.1760139,0,1.456045022,0.357577395,0.000136841
PEBNEP,0.359765972,4000,0.027640057,0.031095065,0.010365022,0,0.005182511,0,0,0.001727504,0,0,276.504,0,0.00919263,0,0.0655651,0,3.99855,4.70974,4.70974,1.47945,2315.48,29,8.333333333,0,0.202247191,0.622921348,0,0,63.6487763,259.1760139,0,1.456045022,0.357577395,0.000136841
PECMOB,0.012504347,40,0.022137056,0.038739848,0.005534264,0,0,0,0,0,0,0,0,38.2374,0,0,0,0,2.52439,3.3577,3.32189,1.71914,1445.54,39,5.357142857,6.666666667,0.235294118,0.782521008,0.4,6.892067154,58.95749915,189.6751467,0.057916531,1.593908796,0.495441169,0.000268478
PECMOB,0.240579732,1000,0.022137056,0.038739848,0.005534264,0,0,0,0,0,0,0,0,38.2374,0,0,0,0,2.52439,3.3577,3.32189,1.71914,1445.54,39,5.357142857,6.666666667,0.235294118,0.782521008,0.4,6.892067154,58.95749915,189.6751467,0.057916531,1.593908796,0.495441169,0.000268478
PECMOB,0.699628114,4000,0.022137056,0.038739848,0.005534264,0,0,0,0,0,0,0,0,38.2374,0,0,0,0,2.52439,3.3577,3.32189,1.71914,1445.54,39,5.357142857,6.666666667,0.235294118,0.782521008,0.4,6.892067154,58.95749915,189.6751467,0.057916531,1.593908796,0.495441169,0.000268478
PEDGUA,2.082593868,40,0,0.012329174,0,0,0,0,0,0,0,0,446.145,0,0.00952993,0,0.0912594,0,3.13119,4.42907,3.94665,1.93076,2595.47,33,50,4.5,0.6,2.064,0,44.85457439,131.2371482,263.0532634,0.37378812,2.192110528,1.093642902,1.75113
PEDGUA,2.754303407,1000,0,0.012329174,0,0,0,0,0,0,0,0,446.145,0,0.00952993,0,0.0912594,0,3.13119,4.42907,3.94665,1.93076,2595.47,33,50,4.5,0.6,2.064,0,44.85457439,131.2371482,263.0532634,0.37378812,2.192110528,1.093642902,1.75113
PEDGUA,3.128420027,4000,0,0.012329174,0,0,0,0,0,0,0,0,446.145,0,0.00952993,0,0.0912594,0,3.13119,4.42907,3.94665,1.93076,2595.47,33,50,4.5,0.6,2.064,0,44.85457439,131.2371482,263.0532634,0.37378812,2.192110528,1.093642902,1.75113
PEDMER,0.016021583,40,0.007008855,0.014017709,0,0,0,0,0,0.007008855,0,0,745.21,0,0.0251283,0,0.168001,0,3.83591,4.87114,4.70884,1.94999,856.06,10,50,3,0.375,1.29,0,8.989354181,41.45147309,94.17791917,0.187278212,1.962039983,0.863572356,0.000371862
PEDMER,0.400647593,1000,0.007008855,0.014017709,0,0,0,0,0,0.007008855,0,0,745.21,0,0.0251283,0,0.168001,0,3.83591,4.87114,4.70884,1.94999,856.06,10,50,3,0.375,1.29,0,8.989354181,41.45147309,94.17791917,0.187278212,1.962039983,0.863572356,0.000371862
PEDMER,1.395890503,4000,0.007008855,0.014017709,0,0,0,0,0,0.007008855,0,0,745.21,0,0.0251283,0,0.168001,0,3.83591,4.87114,4.70884,1.94999,856.06,10,50,3,0.375,1.29,0,8.989354181,41.45147309,94.17791917,0.187278212,1.962039983,0.863572356,0.000371862
PEDMOB,0.046703474,40,0.023700895,0.026489235,0.002788341,0,0,0,0,0.002788341,0,0,686.226,6.46591,0.0513709,0,0.15601,0,5.59613,6.13543,6.13543,1.47554,2869.09,41,10.52631579,4.5,0.211538462,0.712307692,0.222222222,14.57844551,114.6068401,343.0881065,0.07008868,1.649462051,0.550994424,0.00104683
PEDMOB,1.039095096,1000,0.023700895,0.026489235,0.002788341,0,0,0,0,0.002788341,0,0,686.226,6.46591,0.0513709,0,0.15601,0,5.59613,6.13543,6.13543,1.47554,2869.09,41,10.52631579,4.5,0.211538462,0.712307692,0.222222222,14.57844551,114.6068401,343.0881065,0.07008868,1.649462051,0.550994424,0.00104683
PEDMOB,2.626428337,4000,0.023700895,0.026489235,0.002788341,0,0,0,0,0.002788341,0,0,686.226,6.46591,0.0513709,0,0.15601,0,5.59613,6.13543,6.13543,1.47554,2869.09,41,10.52631579,4.5,0.211538462,0.712307692,0.222222222,14.57844551,114.6068401,343.0881065,0.07008868,1.649462051,0.550994424,0.00104683
PEFSEA,0.003601219,40,0.031174499,0.025506408,0.008502136,0,0,0,0,0.002834045,0,0,0,641.258,0,0.0158931,0,0.142415,2.87329,4.38589,4.37031,1.28358,2822.82,23,11.11111111,3,0.222222222,0.72,1,0,91.65355906,328.9225664,0,1.522789659,0.424322033,8.52E-05
PEFSEA,0.086876103,1000,0.031174499,0.025506408,0.008502136,0,0,0,0,0.002834045,0,0,0,641.258,0,0.0158931,0,0.142415,2.87329,4.38589,4.37031,1.28358,2822.82,23,11.11111111,3,0.222222222,0.72,1,0,91.65355906,328.9225664,0,1.522789659,0.424322033,8.52E-05
PEFSEA,0.317632696,4000,0.031174499,0.025506408,0.008502136,0,0,0,0,0.002834045,0,0,0,641.258,0,0.0158931,0,0.142415,2.87329,4.38589,4.37031,1.28358,2822.82,23,11.11111111,3,0.222222222,0.72,1,0,91.65355906,328.9225664,0,1.522789659,0.424322033,8.52E-05
PEFSUQ,0.001906673,40,0.019201767,0.027602539,0.007200662,0,0,0,0,0.002400221,0,0,854.385,0,0.054741,0,0.184311,0,3.92755,6.68087,6.68087,1.19472,2499.77,41.5,8.695652174,3,0.226415094,0.733584906,1,0,65.10052147,239.7568741,0,1.507904869,0.409437242,4.66E-05
PEFSUQ,0.049504765,1000,0.019201767,0.027602539,0.007200662,0,0,0,0,0.002400221,0,0,854.385,0,0.054741,0,0.184311,0,3.92755,6.68087,6.68087,1.19472,2499.77,41.5,8.695652174,3,0.226415094,0.733584906,1,0,65.10052147,239.7568741,0,1.507904869,0.409437242,4.66E-05
PEFSUQ,0.177594726,4000,0.019201767,0.027602539,0.007200662,0,0,0,0,0.002400221,0,0,854.385,0,0.054741,0,0.184311,0,3.92755,6.68087,6.68087,1.19472,2499.77,41.5,8.695652174,3,0.226415094,0.733584906,1,0,65.10052147,239.7568741,0,1.507904869,0.409437242,4.66E-05
PEGBAG,0.003626725,40,0.028531179,0.024964782,0.021398384,0,0,0,0,0,0.003566397,0,550.257,0,0.0117431,0,0.110161,0,3.59275,4.39812,4.37783,1.43063,2243.16,13,14.28571429,0,0.272727273,0.829090909,0,0,74.27425092,267.6045532,0,1.520480416,0.422012789,8.58E-05
PEGBAG,0.08778895,1000,0.028531179,0.024964782,0.021398384,0,0,0,0,0,0.003566397,0,550.257,0,0.0117431,0,0.110161,0,3.59275,4.39812,4.37783,1.43063,2243.16,13,14.28571429,0,0.272727273,0.829090909,0,0,74.27425092,267.6045532,0,1.520480416,0.422012789,8.58E-05
PEGBAG,0.309494007,4000,0.028531179,0.024964782,0.021398384,0,0,0,0,0,0.003566397,0,550.257,0,0.0117431,0,0.110161,0,3.59275,4.39812,4.37783,1.43063,2243.16,13,14.28571429,0,0.272727273,0.829090909,0,0,74.27425092,267.6045532,0,1.520480416,0.422012789,8.58E-05
PEGBUA,0.004810302,40,0.028480266,0.024920233,0.0213602,0,0,0,0,0,0.003560033,0,557.84,0,0.0145651,0,0.121142,0,3.45255,4.21408,4.21408,1.42808,2247.17,13,14.28571429,0,0.272727273,0.829090909,0,0,74.37631568,267.706618,0,1.52106033,0.422592703,0.000116833
PEGBUA,0.122244185,1000,0.028480266,0.024920233,0.0213602,0,0,0,0,0,0.003560033,0,557.84,0,0.0145651,0,0.121142,0,3.45255,4.21408,4.21408,1.42808,2247.17,13,14.28571429,0,0.272727273,0.829090909,0,0,74.37631568,267.706618,0,1.52106033,0.422592703,0.000116833
PEGBUA,0.419995127,4000,0.028480266,0.024920233,0.0213602,0,0,0,0,0,0.003560033,0,557.84,0,0.0145651,0,0.121142,0,3.45255,4.21408,4.21408,1.42808,2247.17,13,14.28571429,0,0.272727273,0.829090909,0,0,74.37631568,267.706618,0,1.52106033,0.422592703,0.000116833
